StudyTimeWeekly,Absences,Tutoring,GPA,GradeClass,ParentalEducation_0.0,ParentalEducation_1.0,ParentalEducation_2.0,ParentalEducation_3.0,ParentalEducation_4.0,ParentalInvolvement_0.0,ParentalInvolvement_1.0,ParentalInvolvement_2.0,ParentalInvolvement_3.0,ParentalInvolvement_4.0
0.7712704924881655,0.0,0.0,1.2388130113245364,1.0,0,1,0,0,0,0,1,0,0,0
0.21071759204626744,0.896551724137931,0.0,-1.961025913777662,4.0,0,0,0,1,0,0,0,1,0,0
0.5019649660554841,0.48275862068965514,0.0,0.15917728029243813,3.0,0,0,0,1,0,0,0,0,1,0
0.23384041518267043,0.5862068965517241,1.0,-0.6774497998748652,4.0,0,0,1,0,0,0,0,0,1,0
0.40997880801841485,0.0,0.0,1.2838776412147654,1.0,0,1,0,0,0,0,1,0,0,0
0.7809278008041075,0.3448275862068966,0.0,0.9170315470458031,2.0,0,1,0,0,0,0,0,0,1,0
0.7720584096170555,0.7586206896551724,1.0,-0.5987383043409542,4.0,0,0,0,0,1,0,1,0,0,0
0.22830967944591776,0.034482758620689655,0.0,1.0792796807817695,2.0,1,0,0,0,0,0,0,1,0,0
0.9232304768415232,0.0,0.0,1.818172550907147,0.0,0,1,0,0,0,0,0,0,1,0
0.5931964208474185,0.3793103448275862,0.0,0.26068050614570387,3.0,0,1,0,0,0,0,1,0,0,0
0.3803081059857858,0.5172413793103449,0.0,-0.3809411791146863,4.0,0,1,0,0,0,0,0,1,0,0
0.605713862960053,0.7241379310344828,0.0,-0.17129607674352437,4.0,0,0,1,0,0,0,0,0,0,1
0.5604812086305974,0.3103448275862069,1.0,0.533256398961083,3.0,0,1,0,0,0,0,0,1,0,0
0.4869112445220939,0.5862068965517241,1.0,-0.6190731262610079,4.0,0,0,1,0,0,1,0,0,0,0
0.5054603096536687,0.48275862068965514,0.0,0.3535026847742047,3.0,0,1,0,0,0,0,0,1,0,0
0.1765617988596112,0.5517241379310345,1.0,-0.5722453023849448,4.0,1,0,0,0,0,0,0,1,0,0
0.8136142099513481,1.0,0.0,-1.5712429489402304,4.0,0,0,0,1,0,0,0,1,0,0
0.5423301569189565,0.3103448275862069,0.0,0.5321600283212125,3.0,0,1,0,0,0,0,0,1,0,0
0.13117764333755336,0.06896551724137931,0.0,0.9499807868083088,2.0,0,0,0,1,0,0,0,0,1,0
0.7669848705501209,0.8620689655172413,0.0,-1.7051842767974736,4.0,0,0,1,0,0,0,1,0,0,0
0.9334628854456049,1.0,1.0,-1.7426913493938607,4.0,1,0,0,0,0,0,1,0,0,0
0.9483428900799418,0.6896551724137931,0.0,-0.15103886830166058,4.0,0,0,0,0,1,0,0,1,0,0
0.36938901092848087,0.5172413793103449,0.0,-0.44038729517363434,4.0,0,1,0,0,0,0,0,1,0,0
0.13561975529600775,0.1724137931034483,0.0,1.167765693884885,2.0,0,0,0,1,0,0,0,0,0,1
0.5189426115478215,0.06896551724137931,0.0,1.1359517177676624,2.0,0,1,0,0,0,0,0,1,0,0
0.11268577998087782,0.27586206896551724,0.0,0.25853268777776545,3.0,0,0,0,1,0,0,0,0,1,0
0.9350080995475588,0.3448275862068966,0.0,1.03339991063042,2.0,1,0,0,0,0,0,0,0,1,0
0.18373775466786668,0.6896551724137931,0.0,-0.42478717387774917,4.0,0,0,1,0,0,0,0,0,1,0
0.2530035131518944,0.41379310344827586,1.0,-0.19800658338521962,4.0,0,0,1,0,0,1,0,0,0,0
0.40705104622619803,0.5862068965517241,0.0,-0.06651579223155411,4.0,0,0,0,1,0,0,0,0,0,1
0.38355200799710815,0.8620689655172413,0.0,-1.6639916341261818,4.0,0,0,0,1,0,0,1,0,0,0
0.7955234274363961,0.7241379310344828,0.0,-1.0472539387687299,4.0,0,0,0,1,0,1,0,0,0,0
0.45678844472383606,0.9310344827586207,1.0,-0.8380817931207971,4.0,0,0,0,1,0,0,0,1,0,0
0.17091166133444738,0.7931034482758621,0.0,-1.798463037928574,4.0,0,1,0,0,0,0,1,0,0,0
